tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041943	3041952	1.7255	2.30854	1.91841	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041835	3041844	1.42772	2.63917	1.416	0	1	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041805	3041814	1.53018	2.18007	1.64591	0	0	0	no
ELK4	MA0076.2	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041793	3041803	1.32595	1.77509	1.59318	0	0	0	no
Arnt	MA0004.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041807	3041812	1.53165	2.17058	1.64591	0	0	0	no
Arnt	MA0004.1	crovir-transcript-PLA2_A1	PLA2_A1	scaffold-mi7	3041807	3041812	1.53165	2.17058	1.64591	0	0	0	no
ELK4	MA0076.2	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039531	3039541	2.22824	1.97988	2.3725	0	0	0	no
ELK4	MA0076.2	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039639	3039649	1.02447	0.72383	0.98923	0	0	0	no
Arnt	MA0004.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039415	3039420	2.96293	2.20819	2.46606	1	0	1	yes
ERF	MA0760.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039640	3039649	1.02447	0.72383	0.98923	0	0	0	no
TFAP2A	MA0003.4	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039700	3039713	0.94136	0.77281	0.43808	0	0	0	no
TFAP2A	MA0003.4	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039675	3039688	0.8851	0.7253	0.65627	0	0	0	no
TFAP2A	MA0003.4	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039674	3039687	0.90032	0.70387	0.67358	0	0	0	no
TFAP2A	MA0003.4	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039699	3039712	0.94136	0.77281	0.43832	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039536	3039545	2.22824	2.11942	2.3725	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039337	3039346	1.42772	1.96899	2.69556	0	0	1	no
FIGLA	MA0820.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039693	3039702	0.94001	0.77281	0.43952	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039630	3039639	1.02447	0.73563	0.99644	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039580	3039589	1.81077	1.93522	2.03546	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039339	3039348	1.46762	2.04912	2.96125	0	0	1	no
TBX3	MA1566.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039538	3039547	2.22824	2.17664	2.3725	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_C1	PLA2_C1	scaffold-mi7	3039658	3039667	1.02447	0.7223	0.98376	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029515	3029524	0.75009	1.47939	1.50941	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029468	3029477	1.17756	2.49898	1.79626	0	1	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029377	3029386	1.22665	3.59112	2.1416	0	1	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029485	3029494	1.11644	2.10773	1.55256	0	0	0	no
FIGLA	MA0820.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029515	3029524	0.75009	1.47939	1.50941	0	0	0	no
TFAP2A	MA0003.4	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029561	3029574	0.48566	1.1519	1.00558	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029483	3029492	1.14029	2.14565	1.55256	0	0	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029423	3029432	1.47937	4.20622	2.57401	0	1	1	yes
TBX3	MA1566.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029375	3029384	1.1899	3.59112	2.12218	0	1	0	no
TBX3	MA1566.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029490	3029499	1.07363	2.07226	1.55256	0	0	0	no
Arnt	MA0004.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029517	3029522	0.74264	1.4813	1.50592	0	0	0	no
Arnt	MA0004.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029416	3029421	1.47937	4.09326	2.55592	0	1	1	yes
Arnt	MA0004.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029517	3029522	0.74264	1.4813	1.50592	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029516	3029524	0.74503	1.46085	1.50401	0	0	0	no
Creb3l2	MA0608.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029415	3029423	1.47787	4.09136	2.5547	0	1	1	yes
Creb3l2	MA0608.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029414	3029422	1.44948	3.99519	2.50722	0	1	1	yes
Creb3l2	MA0608.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029515	3029523	0.75282	1.50248	1.51612	0	0	0	no
CREB3L1	MA0839.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029412	3029425	1.41539	3.87861	2.4705	0	1	1	yes
ELK4	MA0076.2	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029526	3029536	0.65694	1.25871	1.36471	0	0	0	no
CLOCK	MA0819.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029515	3029524	0.75009	1.47939	1.50941	0	0	0	no
CLOCK	MA0819.1	crovir-transcript-PLA2_B1	PLA2_B1	scaffold-mi7	3029515	3029524	0.75009	1.47939	1.50941	0	0	0	no
