tfbs	motif_id	tx_id	gene_id	chr	start	end	RVG11_footprint	RVG1_footprint	RVG4_footprint	RVG11_bound	RVG1_bound	RVG4_bound	tfbs_bound_min2
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8536006	8536014	0.72856	1.14531	2.29864	0	0	0	no
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8536005	8536013	0.72856	1.17975	2.25658	0	0	0	no
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8535966	8535974	3.42528	3.64712	3.02723	1	1	1	yes
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8535917	8535925	5.88624	7.80647	4.81253	1	1	1	yes
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8535894	8535902	6.58735	10.01791	5.95806	1	1	1	yes
NFIX	MA0671.1	PER16_SVSP_2	NA	scaffold-mi2	8535570	8535578	0.77058	1.41784	1.37316	0	0	0	no
SOX9	MA0077.1	PER16_SVSP_2	NA	scaffold-mi2	8535737	8535745	1.6804	3.1104	2.78492	0	1	1	yes
SOX9	MA0077.1	PER16_SVSP_2	NA	scaffold-mi2	8536001	8536009	0.94228	1.41195	2.08986	0	0	0	no
ZBTB26	MA1579.1	PER16_SVSP_2	NA	scaffold-mi2	8535969	8535983	3.40987	3.53703	3.02723	1	1	1	yes
ZBTB26	MA1579.1	PER16_SVSP_2	NA	scaffold-mi2	8535717	8535731	1.76871	3.1104	2.64502	0	1	1	yes
ZBTB26	MA1579.1	PER16_SVSP_2	NA	scaffold-mi2	8535614	8535628	1.62177	3.47244	1.85422	0	1	0	no
CREB3L1	MA0839.1	PER16_SVSP_2	NA	scaffold-mi2	8535960	8535973	3.42761	3.64996	3.02723	1	1	1	yes
NFIA	MA0670.1	PER16_SVSP_2	NA	scaffold-mi2	8535569	8535578	0.77058	1.41784	1.3774	0	0	0	no
SOX10	MA0442.2	PER16_SVSP_2	NA	scaffold-mi2	8535726	8535736	1.65481	3.1104	2.78492	0	1	1	yes
SOX10	MA0442.2	PER16_SVSP_2	NA	scaffold-mi2	8535922	8535932	4.03848	5.55666	3.74852	1	1	1	yes
FOXO4	MA0848.1	PER16_SVSP_2	NA	scaffold-mi2	8535741	8535747	1.77486	3.09061	2.78492	0	1	1	yes
FOXO4	MA0848.1	PER16_SVSP_2	NA	scaffold-mi2	8535649	8535655	1.62177	3.47244	2.21347	0	1	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8535938	8535943	3.83147	3.65239	2.67971	1	1	1	yes
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536030	8536035	0.72856	1.06381	2.34156	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536035	8536040	0.72856	1.06381	2.34156	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536050	8536055	0.6216	1.05341	2.2323	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536046	8536051	0.69118	1.06381	2.34156	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536026	8536031	0.72856	1.06381	2.34156	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8536021	8536026	0.72856	1.06381	2.34156	0	0	0	no
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8535913	8535918	6.51655	9.60891	5.48934	1	1	1	yes
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8535872	8535877	6.58735	10.01791	5.98626	1	1	1	yes
Arid3a	MA0151.1	PER16_SVSP_2	NA	scaffold-mi2	8535798	8535803	4.02602	7.62103	7.0102	1	1	1	yes
ATF4	MA0833.2	PER16_SVSP_2	NA	scaffold-mi2	8535885	8535898	6.58735	10.01791	5.96226	1	1	1	yes
MEIS1	MA0498.2	PER16_SVSP_2	NA	scaffold-mi2	8535982	8535988	3.1218	3.06612	3.02723	1	1	1	yes
MEIS1	MA0498.2	PER16_SVSP_2	NA	scaffold-mi2	8535904	8535910	6.58735	10.01791	5.9377	1	1	1	yes
MEIS1	MA0498.2	PER16_SVSP_2	NA	scaffold-mi2	8535876	8535882	6.58735	10.01791	5.98626	1	1	1	yes
FIGLA	MA0820.1	PER16_SVSP_2	NA	scaffold-mi2	8535551	8535560	0.76474	1.16458	1.41136	0	0	0	no
FIGLA	MA0820.1	PER16_SVSP_2	NA	scaffold-mi2	8536013	8536022	0.72856	1.06987	2.34156	0	0	0	no
FIGLA	MA0820.1	PER16_SVSP_2	NA	scaffold-mi2	8535551	8535560	0.76474	1.16458	1.41136	0	0	0	no
FOXC2	MA0846.1	PER16_SVSP_2	NA	scaffold-mi2	8535739	8535750	1.83255	3.06721	2.78492	0	1	1	yes
FOXC2	MA0846.1	PER16_SVSP_2	NA	scaffold-mi2	8535647	8535658	1.62177	3.47244	2.22086	0	1	0	no
Dlx4	MA0881.1	PER16_SVSP_2	NA	scaffold-mi2	8536047	8536054	0.65723	1.06381	2.33081	0	0	0	no
Dlx4	MA0881.1	PER16_SVSP_2	NA	scaffold-mi2	8536022	8536029	0.72856	1.06381	2.34156	0	0	0	no
Dlx4	MA0881.1	PER16_SVSP_2	NA	scaffold-mi2	8535587	8535594	0.78004	1.41784	1.56283	0	0	0	no
ELF5	MA0136.2	PER16_SVSP_2	NA	scaffold-mi2	8535619	8535629	1.62177	3.47244	1.85422	0	1	0	no
ELF5	MA0136.2	PER16_SVSP_2	NA	scaffold-mi2	8535862	8535872	6.30923	9.52615	6.10931	1	1	1	yes
JUN	MA0488.1	PER16_SVSP_2	NA	scaffold-mi2	8535884	8535896	6.58735	10.01791	5.96496	1	1	1	yes
Ddit3::Cebpa	MA0019.1	PER16_SVSP_2	NA	scaffold-mi2	8535888	8535899	6.58735	10.01791	5.95806	1	1	1	yes
Ddit3::Cebpa	MA0019.1	PER16_SVSP_2	NA	scaffold-mi2	8535794	8535805	4.09912	7.32855	7.0102	1	1	1	yes
Ddit3::Cebpa	MA0019.1	PER16_SVSP_2	NA	scaffold-mi2	8535780	8535791	3.73364	5.50335	5.9293	1	1	1	yes
GRHL2	MA1105.2	PER16_SVSP_2	NA	scaffold-mi2	8535640	8535651	1.62177	3.47244	2.04004	0	1	0	no
GRHL2	MA1105.2	PER16_SVSP_2	NA	scaffold-mi2	8535640	8535651	1.62177	3.47244	2.04004	0	1	0	no
FOXO4	MA0848.1	PER21_SVSP_5	NA	scaffold-mi2	8737140	8737146	1.22602	0.78339	3.79542	0	0	1	no
SOX10	MA0442.2	PER21_SVSP_5	NA	scaffold-mi2	8737410	8737420	0.99215	0.35669	1.95571	0	0	0	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737108	8737118	0.83944	0.63653	2.76453	0	0	1	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737220	8737230	1.4057	1.66073	4.11297	0	0	1	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737331	8737341	1.26793	1.47135	3.7309	0	0	1	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737350	8737360	1.04854	0.66321	2.85148	0	0	1	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737478	8737488	0.82627	0.1905	1.37507	0	0	0	no
ELF5	MA0136.2	PER21_SVSP_5	NA	scaffold-mi2	8737105	8737115	0.82738	0.63653	2.76453	0	0	1	no
JUN	MA0488.1	PER21_SVSP_5	NA	scaffold-mi2	8737372	8737384	1.05212	0.53328	2.94248	0	0	1	no
SREBF2	MA0596.1	PER21_SVSP_5	NA	scaffold-mi2	8737645	8737654	1.70377	1.76237	1.38157	0	0	0	no
Irx2	PH0082.1	PER21_SVSP_5	NA	scaffold-mi2	8737614	8737630	1.01065	1.13928	1.42104	0	0	0	no
ZBTB26	MA1579.1	PER21_SVSP_5	NA	scaffold-mi2	8737479	8737493	0.82627	0.19106	1.37963	0	0	0	no
ZBTB26	MA1579.1	PER21_SVSP_5	NA	scaffold-mi2	8737208	8737222	1.38656	1.2881	4.11296	0	0	1	no
SREBF1	MA0595.1	PER21_SVSP_5	NA	scaffold-mi2	8737645	8737654	1.70377	1.76237	1.38157	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737184	8737192	1.55408	1.03787	3.86596	0	0	1	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737471	8737479	0.8458	0.21394	1.25798	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737491	8737499	0.79619	0.19476	1.38304	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737639	8737647	1.53135	1.64235	1.40267	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737490	8737498	0.80955	0.19476	1.38304	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737450	8737458	0.90823	0.36055	1.4468	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737405	8737413	0.99215	0.38506	2.29797	0	0	0	no
NFIX	MA0671.1	PER21_SVSP_5	NA	scaffold-mi2	8737382	8737390	0.9599	0.53328	2.92218	0	0	1	no
GRHL1	MA0647.1	PER21_SVSP_5	NA	scaffold-mi2	8737131	8737142	1.08607	0.74106	3.70422	0	0	1	no
GRHL1	MA0647.1	PER21_SVSP_5	NA	scaffold-mi2	8737131	8737142	1.08607	0.74106	3.70422	0	0	1	no
Creb3l2	MA0608.1	PER21_SVSP_5	NA	scaffold-mi2	8737302	8737310	1.77353	1.89956	3.4221	0	0	1	no
Creb3l2	MA0608.1	PER21_SVSP_5	NA	scaffold-mi2	8737447	8737455	0.90436	0.36055	1.44542	0	0	0	no
Dlx4	MA0881.1	PER21_SVSP_5	NA	scaffold-mi2	8737560	8737567	0.55765	0.37109	0.93445	0	0	0	no
Dlx4	MA0881.1	PER21_SVSP_5	NA	scaffold-mi2	8737560	8737567	0.55765	0.37109	0.93445	0	0	0	no
Dlx4	MA0881.1	PER21_SVSP_5	NA	scaffold-mi2	8737507	8737514	0.58696	0.19476	1.38234	0	0	0	no
Dlx4	MA0881.1	PER21_SVSP_5	NA	scaffold-mi2	8737261	8737268	1.44245	1.73715	3.27527	0	0	1	no
GRHL2	MA1105.2	PER21_SVSP_5	NA	scaffold-mi2	8737131	8737142	1.08607	0.74106	3.70422	0	0	1	no
GRHL2	MA1105.2	PER21_SVSP_5	NA	scaffold-mi2	8737131	8737142	1.08607	0.74106	3.70422	0	0	1	no
SOX9	MA0077.1	PER21_SVSP_5	NA	scaffold-mi2	8737226	8737234	1.43585	1.73675	3.93072	0	0	1	no
SOX9	MA0077.1	PER21_SVSP_5	NA	scaffold-mi2	8737485	8737493	0.82627	0.19476	1.38304	0	0	0	no
CREB3L1	MA0839.1	PER21_SVSP_5	NA	scaffold-mi2	8737444	8737457	0.90446	0.36055	1.44337	0	0	0	no
Ddit3::Cebpa	MA0019.1	PER21_SVSP_5	NA	scaffold-mi2	8737376	8737387	1.02125	0.53328	2.94248	0	0	1	no
Ddit3::Cebpa	MA0019.1	PER21_SVSP_5	NA	scaffold-mi2	8737623	8737634	1.23347	1.37322	1.42104	0	0	0	no
Ddit3::Cebpa	MA0019.1	PER21_SVSP_5	NA	scaffold-mi2	8737282	8737293	1.77353	1.89956	2.77512	0	0	1	no
FOXC2	MA0846.1	PER21_SVSP_5	NA	scaffold-mi2	8737138	8737149	1.22478	0.78339	3.79542	0	0	1	no
MEIS1	MA0498.2	PER21_SVSP_5	NA	scaffold-mi2	8737466	8737472	0.91081	0.28839	1.4254	0	0	0	no
MEIS1	MA0498.2	PER21_SVSP_5	NA	scaffold-mi2	8737392	8737398	0.99215	0.53328	2.52605	0	0	1	no
MEIS1	MA0498.2	PER21_SVSP_5	NA	scaffold-mi2	8737364	8737370	1.06813	0.53328	2.94248	0	0	1	no
CREB3	MA0638.1	PER21_SVSP_5	NA	scaffold-mi2	8737444	8737457	0.90446	0.36055	1.44337	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737515	8737520	0.58651	0.19188	1.34349	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737520	8737525	0.5756	0.1979	1.27652	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737627	8737632	1.30398	1.41481	1.42104	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737511	8737516	0.58672	0.19391	1.37447	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737506	8737511	0.58703	0.19476	1.38304	0	0	0	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737401	8737406	0.99215	0.5045	2.4592	0	0	1	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737360	8737365	1.06813	0.53059	2.94248	0	0	1	no
Arid3a	MA0151.1	PER21_SVSP_5	NA	scaffold-mi2	8737286	8737291	1.77353	1.89956	2.78214	0	0	1	no
ATF4	MA0833.2	PER21_SVSP_5	NA	scaffold-mi2	8737373	8737386	1.03728	0.53328	2.94248	0	0	1	no
Dlx4	MA0881.1	PER28_SVSP_11	NA	scaffold-mi2	8849377	8849384	2.9868	1.82392	3.89479	1	0	1	yes
Dlx4	MA0881.1	PER28_SVSP_11	NA	scaffold-mi2	8849483	8849490	3.22306	2.04968	5.16832	1	0	1	yes
Creb3l2	MA0608.1	PER28_SVSP_11	NA	scaffold-mi2	8849450	8849458	3.44984	2.18888	5.38101	1	0	1	yes
NFIX	MA0671.1	PER28_SVSP_11	NA	scaffold-mi2	8849351	8849359	1.76906	1.75563	1.61599	0	0	0	no
NFIX	MA0671.1	PER28_SVSP_11	NA	scaffold-mi2	8849374	8849382	2.82609	1.82392	3.82695	1	0	1	yes
NFIX	MA0671.1	PER28_SVSP_11	NA	scaffold-mi2	8849546	8849554	1.84773	0.79579	2.01351	0	0	0	no
GRHL1	MA0647.1	PER28_SVSP_11	NA	scaffold-mi2	8849596	8849607	1.50488	0.60477	1.68143	0	0	0	no
GRHL1	MA0647.1	PER28_SVSP_11	NA	scaffold-mi2	8849596	8849607	1.50488	0.60477	1.68143	0	0	0	no
BARX2	MA1471.1	PER28_SVSP_11	NA	scaffold-mi2	8849373	8849384	2.8464	1.82392	3.8247	1	0	1	yes
SREBF1	MA0595.1	PER28_SVSP_11	NA	scaffold-mi2	8849680	8849689	1.27121	0.759	1.6812	0	0	0	no
SREBF1	MA0595.1	PER28_SVSP_11	NA	scaffold-mi2	8849478	8849487	3.40487	2.14935	5.35852	1	0	1	yes
TFAP4	MA0691.1	PER28_SVSP_11	NA	scaffold-mi2	8849689	8849698	1.27121	0.759	1.66622	0	0	0	no
TFAP4	MA0691.1	PER28_SVSP_11	NA	scaffold-mi2	8849689	8849698	1.27121	0.759	1.66622	0	0	0	no
ZBTB26	MA1579.1	PER28_SVSP_11	NA	scaffold-mi2	8849618	8849632	1.47682	0.58286	1.68143	0	0	0	no
FIGLA	MA0820.1	PER28_SVSP_11	NA	scaffold-mi2	8849689	8849698	1.27121	0.759	1.66622	0	0	0	no
FIGLA	MA0820.1	PER28_SVSP_11	NA	scaffold-mi2	8849689	8849698	1.27121	0.759	1.66622	0	0	0	no
ELF5	MA0136.2	PER28_SVSP_11	NA	scaffold-mi2	8849623	8849633	1.45249	0.58286	1.68043	0	0	0	no
ELF5	MA0136.2	PER28_SVSP_11	NA	scaffold-mi2	8849506	8849516	1.78938	1.07724	2.236	0	0	0	no
ELF5	MA0136.2	PER28_SVSP_11	NA	scaffold-mi2	8849419	8849429	3.16893	2.2036	4.16214	1	0	1	yes
ELF5	MA0136.2	PER28_SVSP_11	NA	scaffold-mi2	8849411	8849421	3.18439	2.20251	4.17726	1	0	1	yes
ELF5	MA0136.2	PER28_SVSP_11	NA	scaffold-mi2	8849400	8849410	3.1197	1.77615	4.17726	1	0	1	yes
SREBF2	MA0596.1	PER28_SVSP_11	NA	scaffold-mi2	8849680	8849689	1.27121	0.759	1.6812	0	0	0	no
FOXO4	MA0848.1	PER28_SVSP_11	NA	scaffold-mi2	8849592	8849598	1.50488	0.72591	1.68143	0	0	0	no
ATF4	MA0833.2	PER28_SVSP_11	NA	scaffold-mi2	8849378	8849391	3.0618	1.82392	3.98262	1	0	1	yes
JUN	MA0488.1	PER28_SVSP_11	NA	scaffold-mi2	8849380	8849392	3.077	1.82392	4.01934	1	0	1	yes
MEIS1	MA0498.2	PER28_SVSP_11	NA	scaffold-mi2	8849366	8849372	2.51808	1.81018	2.92228	1	0	1	yes
MEIS1	MA0498.2	PER28_SVSP_11	NA	scaffold-mi2	8849394	8849400	3.10352	1.82392	4.17726	1	0	1	yes
GRHL2	MA1105.2	PER28_SVSP_11	NA	scaffold-mi2	8849596	8849607	1.50488	0.60477	1.68143	0	0	0	no
GRHL2	MA1105.2	PER28_SVSP_11	NA	scaffold-mi2	8849596	8849607	1.50488	0.60477	1.68143	0	0	0	no
FOXC2	MA0846.1	PER28_SVSP_11	NA	scaffold-mi2	8849589	8849600	1.50488	0.71052	1.68143	0	0	0	no
Ddit3::Cebpa	MA0019.1	PER28_SVSP_11	NA	scaffold-mi2	8849467	8849478	3.44984	2.18888	5.381	1	0	1	yes
Ddit3::Cebpa	MA0019.1	PER28_SVSP_11	NA	scaffold-mi2	8849483	8849494	2.92125	1.92427	4.90854	1	0	1	yes
Ddit3::Cebpa	MA0019.1	PER28_SVSP_11	NA	scaffold-mi2	8849377	8849388	3.02925	1.82392	3.93532	1	0	1	yes
Arid3a	MA0151.1	PER28_SVSP_11	NA	scaffold-mi2	8849358	8849363	2.0125	1.75563	1.9576	0	0	0	no
Arid3a	MA0151.1	PER28_SVSP_11	NA	scaffold-mi2	8849469	8849474	3.44984	2.18888	5.38101	1	0	1	yes
Arid3a	MA0151.1	PER28_SVSP_11	NA	scaffold-mi2	8849758	8849763	0.74894	0.54376	0.8719	0	0	0	no
Arid3a	MA0151.1	PER28_SVSP_11	NA	scaffold-mi2	8849337	8849342	1.62935	1.75563	1.57937	0	0	0	no
SOX10	MA0442.2	PER28_SVSP_11	NA	scaffold-mi2	8849511	8849521	1.78938	0.98433	2.22176	0	0	0	no
SOX10	MA0442.2	PER28_SVSP_11	NA	scaffold-mi2	8849344	8849354	1.63642	1.75563	1.57937	0	0	0	no
FIGLA	MA0820.1	PER24_SVSP_11	NA	scaffold-mi2	8799214	8799223	2.17813	4.09771	2.08903	0	1	0	no
FIGLA	MA0820.1	PER24_SVSP_11	NA	scaffold-mi2	8799214	8799223	2.17813	4.09771	2.08903	0	1	0	no
BARX2	MA1471.1	PER24_SVSP_11	NA	scaffold-mi2	8799176	8799187	1.11817	2.16164	1.4033	0	0	0	no
TFAP4	MA0691.1	PER24_SVSP_11	NA	scaffold-mi2	8799214	8799223	2.17813	4.09771	2.08903	0	1	0	no
TFAP4	MA0691.1	PER24_SVSP_11	NA	scaffold-mi2	8799214	8799223	2.17813	4.09771	2.08903	0	1	0	no
FOXC2	MA0846.1	PER24_SVSP_11	NA	scaffold-mi2	8799283	8799294	2.21215	3.30427	2.16022	0	1	0	no
ZBTB26	MA1579.1	PER24_SVSP_11	NA	scaffold-mi2	8799296	8799310	2.21215	3.30427	2.16171	0	1	0	no
Dlx4	MA0881.1	PER24_SVSP_11	NA	scaffold-mi2	8799180	8799187	1.1181	2.26896	1.38914	0	0	0	no
Dlx4	MA0881.1	PER24_SVSP_11	NA	scaffold-mi2	8799259	8799266	2.32261	4.26761	2.51605	1	1	1	yes
Arid3a	MA0151.1	PER24_SVSP_11	NA	scaffold-mi2	8799284	8799289	2.21215	3.30427	2.1606	0	1	0	no
Arid3a	MA0151.1	PER24_SVSP_11	NA	scaffold-mi2	8799327	8799332	2.2111	2.69567	2.0629	0	1	0	no
SOX10	MA0442.2	PER24_SVSP_11	NA	scaffold-mi2	8799173	8799183	1.11829	1.97383	1.40794	0	0	0	no
ELF5	MA0136.2	PER24_SVSP_11	NA	scaffold-mi2	8799295	8799305	2.21215	3.30427	2.16172	0	1	0	no
ELF5	MA0136.2	PER24_SVSP_11	NA	scaffold-mi2	8799186	8799196	1.20201	2.56003	1.59549	0	1	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554112	8554120	1.5391	1.52827	0.91539	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554476	8554484	1.83338	1.84821	1.43593	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554380	8554388	1.66011	2.33791	1.8296	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554374	8554382	1.23195	2.37707	1.8296	0	1	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554370	8554378	1.33551	2.37707	1.8296	0	1	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554170	8554178	0.98969	1.86873	1.52304	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554131	8554139	1.47221	1.58878	1.44563	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554086	8554094	1.66225	1.48295	1.01336	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554062	8554070	2.12798	1.6572	1.30819	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8553979	8553987	2.22953	2.03555	1.41798	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8553819	8553827	1.64789	2.42738	1.95934	0	1	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8553777	8553785	1.66056	2.2836	1.25886	0	0	0	no
NFIX	MA0671.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8553749	8553757	1.61735	1.49983	1.27468	0	0	0	no
Arid3a	MA0151.1	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8554453	8554458	1.83338	1.84821	1.43593	0	0	0	no
MEIS1	MA0498.2	PER18_SVSP_1.SVSP_2	NA	scaffold-mi2	8553845	8553851	2.43899	2.60969	2.026	1	1	0	yes
