CTL_2	SVSP1	SVSP2	SVSP3	SVSP4	SVSP5	SVSP6	SVSP7	SVSP8	SVSP9	PLA2B1	PLA2C1	PLA2A1	vQC2	EXO3	LAAO3	CRISP1	vQC1	VEGF1	EXO2	EXO1	SVMP1	SVMP2	SVMP3	SVMP4	SVMP5	SVMP6	SVMP7	SVMP8	SVMP9	SVMP10	ohanin	LAAO1	BPP	myotoxin
ARID3A	0.00199811442020583	0.00670911554579991	0.0348492855223235	0.00137189681786825	0.00345985440493709	0.0033506813395289	0.00268531860523195	0.00808195358273392	0.00132522248211718	0.00596888856640875	0.000568941874408361	0.000130722399157858	0.00596062946777761	0.0149966874404909	0.000170361174322465	0.00631509784516665	0.00338705181212545	0.000580651459339514	0.00126277317346681	0.00380360401021048	0.000275310166714976	0.00415999365654237	0.00137684829463118	0.00415763698898599	0.000870456204262749	0.00282563621008729	0.00066212217264557	0.0211901182898291	0.000399015619951974	0.00152705596546777	0.00489088004234147	0.00458736382157734	8.65009250759997e-05	0.00312649000169516	0.00215734696230341
JUN	0.000228385365677237	0.000316650452225677	0.000838040206010057	0.000650011446181879	0.0283464837452588	0.000895873922025483	0.00075059064387058	0.000183630907632633	0.00014930535438775	0.000258966996175789	0.000309173719406609	0	0.000762468825937652	0.000285095460698223	0.000206964038025842	0.000485978287515854	0.000295154870872716	2.99094582113848e-05	0.025030506743892	5.69942879461674e-05	0	0.000489790729405768	0.000568321937799822	0.000549329430617243	0.00015667747662541	0.000897445802099682	0.0136595164519086	0.000165343650204306	0.00313666407620389	0.000446950841567828	0.00160128678854492	0.00240712581778709	1.73001850151999e-05	0.00101424442121407	0.000973456701389512
ZNF511	0.00722051135191749	0.00215317440046922	0.00186921008533782	0.000516866614843986	0.00627569331438304	0.00176929253557584	0.00179419818568737	0.00281386250381858	0.00101941152414706	0.000971962820017593	0.0124819118499214	0.0215278485034289	0.0028849122244531	5.02204503878001e-05	0.00291757739429642	0.00466535968882865	0.000667466739695155	0.0284960964561498	0.00177976856667017	0.00107322816200725	0.000219932069747207	0.00367570724542551	0.0045852426756167	0.00561281830327622	0.00346116169932509	0.00274827221994257	0.00294822879284382	0.00289867856710998	0.000904607541801902	0.00118244400137554	0.00381186724545832	0.00462866893310682	0	0.00179602798305672	0.000633202439632114
FOS	0.00057829279362955	0.000120248493222941	9.12709114546061e-05	6.53155323403888e-05	2.81011254433194e-05	9.1935926772376e-05	9.67632495734251e-05	0.000107482700310811	7.95396566936045e-05	0.000217907654174954	0.000261414033490229	0.000195286510937045	0.000101974034117001	9.35683497684499e-05	0.0105695002982994	7.12462533432594e-05	0.000263104708788033	9.61867197567637e-06	0.00235583170353671	1.8679418243002e-05	2.86867917061575e-05	0.000130773184418785	0.000101881522482368	6.81227354240025e-05	5.86425203009472e-05	0.000770824395260699	0.000180051013829737	0.000793780327236443	0.000482497306889264	7.62987780191545e-05	6.4601323764856e-05	4.83153443864684e-05	0	0.000531196091887245	5.36907718553328e-05
ZNF410	0.00610948391716603	0.0120889722721116	0.0188288236172171	0.00792657797762682	0.0166189412064786	0.0062448925428716	0.0151311554846105	0.00506074850563721	0.0121118228633818	0.0111562912010175	0.0036880250346878	0.00276610333900907	0.00536429050426923	0.0368584989137972	0.0175483336409477	0.00314152765179931	0.00356175673434821	0.00701689258087038	0.00898311810253548	0.00703618140297658	0.00241501539112491	0.00550963319168802	0.00248058774357263	0.00721756458727681	0.0041218184838056	0.00377779845738603	0.00353734164508031	0.00699818903205424	0.00395158330547903	0.00565014709735151	0.00284363862468465	0.0118866172603612	0.0154113650200682	0.0045883926433998	0.00965865719845495
ZFP36L1	0.00395777337150115	0.00456139771308581	0.00109961975869091	0.00331032483933375	0.00355374725141609	0.00351828880649051	0.00478021317676064	0.00160014353377405	0.00300496492369347	0.0044746004373636	0.00093675250812431	0.000145468523453105	0.00229651847570377	0.000283239249801034	0.00364922822160133	0.0021665602331889	0.00131472286627996	0.00310162330609221	0.00296909093404041	0.0108335562484088	0.000454814132508113	0.00526081791951597	0.00306710463455213	0.00372394183095686	0.00126193721615915	0.00129456237715584	0.00121613470775953	0.00251979053516247	0.0060453912237652	0.00119609270840387	0.00150052662804702	0.0201466544234773	0.000351770428642399	0.0024021656972361	0.00195499567912705
NR1H3	0.0043091601348134	0.00476055233839114	0.00849772459707415	0.0126857065643688	0.00732240712662651	0.00875711802941122	0.010916054680307	0.00651175710959425	0.00569077118846338	0.0102913648735323	0.00429961679706842	0.00797961397304123	0.0195646151081902	0.0104953727809421	0.00342899430442161	0.00466178335299756	0.0025498293593596	0.00397706576801652	0.00354355883428186	0.00103132393899888	0.00378501501135961	0.00274448265737465	0.00590505184183511	0.00249219608336422	0.00309912376015487	0.0059496708307639	0.00384509254294616	0.00648744000058423	0.00648924192358832	0.00404041711624987	0.00745423217931021	0.00424701684128942	0.00116185484389361	0.00634812352906986	0.00265550009063186
CREB3L1	0.00688096286821542	0.00595141449974753	0.00280108201631674	0.000844865702601659	0.00188669616960644	0.00311017100605394	0.00492371855086789	0.00201924035941825	0.00215631732296931	0.0026714637368893	0.00114300462742121	0.000217206425429978	0.000742187219678705	0.00403070813769508	0.000284107210843314	0.001960607789174	0.000835827288448472	0.0216341258494036	0.00146641168902892	0.000221130720797821	0.000352826973977345	0.00191737872780684	0.00107246564037808	0.00135394400977808	0.00182095181554892	0.00313560235318488	0.00255284328740062	0.00229004690779103	0.00322517569880722	0.00144032334603705	0.00264041373064103	0.00151431705864495	2.14909130623606e-06	0.00228494191466099	0.00105787413596898
EHF	0.0472508720844245	0.0218622229146348	0.0551986140205543	0.0195997344109798	0.0214290033139268	0.0645005014501999	0.0454416323604811	0.0600522789085414	0.0348159634485039	0.0505545334088587	0.0611355045188498	0.0139604515600428	0.0247740289114844	0.0228587406329279	0.0135478782545328	0.0698042119772453	0.0622007299638756	0.0168526392680711	0.020144526913117	0.0127570979404929	0.0300589655376055	0.0571833347551651	0.0740117311961495	0.0365182136511588	0.0716175158726548	0.0729407087748803	0.0560217217058629	0.0393043814845541	0.0668120644894041	0.0706091169805617	0.0616133624279447	0.0233021110320886	0.0237844459342728	0.0173597486822172	0.0525608349510716
ELF5	0.00991545407334951	0.0110451158557869	0.0111779404023466	0.00760481214648371	0.0119569596378058	0.00947702486008369	0.00948901892063277	0.00951202112924692	0.0119462205422152	0.0192118742853814	0.0140692700696219	0.00602753617791584	0.0189496617688732	0.0176889797168875	0.0120589795433088	0.0331758355500829	0.0166262212319375	0.0099559432981651	0.0127589268047203	0.0123154471433028	0.00875018332687581	0.0228491993921675	0.0178067783446958	0.0278065382075806	0.0122592605871602	0.0163354827376697	0.0112453331737066	0.0189747501707895	0.0123893723609077	0.0146765029265601	0.0192905823730899	0.0103971784426648	0.0172882702416657	0.0195679975970887	0.00937845385157586
CCND1	0.0037205570581989	0.00191234087346831	0.00168488450619971	0.00236195504212677	0.00328361305700322	0.00169589075905525	0.00201882755047647	0.00145269800117479	0.00213596838774432	0.00549567220460494	0.0139036361042875	0.00599804391819067	0.00690514801902621	0.0102334320096658	0.000913103477143207	0.00608842002584574	0.0038818582700981	0.00179944226831433	0.00451816261077044	0.0075299001203405	0.000400570581011214	0.00230069824245928	0.0139311368921887	0.00355732444817833	0.00262909433255156	0.00320744046961522	0.00259732720868737	0.00944479246340739	0.00273614233176317	0.00254395239240886	0.00355499389438662	0.00973488457575993	0.0119561168442384	0.00336471615406665	0.00169698130906874
SSRP1	0.00603683317985566	0.0105063723971344	0.004869392870203	0.00512565589162969	0.00239819690872383	0.00389013682087713	0.00567809040074185	0.00209008367920113	0.00837219596794353	0.00371065756602645	0.00312001434058678	0.00858974048786415	0.00262934075627715	0.00010591547973428	0.00158758413173481	0.00565117707483056	0.00159999962716532	0.0032036612226754	0.00428439321708664	0.00684643734452093	0.0182707776151885	0.00183814875816685	0.00750793903330229	0.00458332500849789	0.00451750023893917	0.00647049047893928	0.00513250253520857	0.00123248118384658	0.00518500427233019	0.00267934028866939	0.00259248279500043	0.00179083325498315	0.000259502775227999	0.00491671715258906	0.00299638663640248
KDM2A	0.0131827254612982	0.0127041906048005	0.00968866072113657	0.00805199135579169	0.00724077377123998	0.0156141291592519	0.0243632333459154	0.0194082834620257	0.00979315085484295	0.0136862405278462	0.00783472733875353	0.00691742275953342	0.00981326091883151	0.0083016833801986	0.0148811857102854	0.00794164882255695	0.0096482454265594	0.0123445173256272	0.00980552520253476	0.0107720561394011	0.00611359176475058	0.0112860355074895	0.0144841570094821	0.00856956997580462	0.0165283020423739	0.0129357932612527	0.0231166583034455	0.00979778858254086	0.0140003229632406	0.00965792038239638	0.0138323644891043	0.0287126034978423	0.00617364831615396	0.0133744738835524	0.00821086169078138
TFCP2L1	0.0247285832232603	0.0186346577963881	0.0233222399350636	0.0148332803322038	0.0115739133426282	0.0325779334120194	0.0289352721350598	0.0239702341928248	0.0443605722701675	0.0204740011904249	0.0532569556637165	0.0158307657030786	0.0393706088362911	0.027343852654785	0.0233122239436458	0.0485921045548094	0.0171116869959166	0.0135059842452836	0.0262303771643736	0.0186507896034407	0.0119446115326798	0.0402155288652856	0.0481652333210602	0.0267505230282907	0.0177019209038123	0.0142542538424672	0.0113859342531431	0.0221678800778326	0.0118450723425213	0.016377158832573	0.0195479714440479	0.0132751060527038	0.0530316450573762	0.0239582780087788	0.0220523534252315
NR4A2	0.00275715969477297	0.000778219515938645	0.00131330744396374	0.00166486271085802	0.00388219856069206	0.000638833299581455	0.000706765669044956	0.00232429884220258	0.00208620378442765	0.00156363832098329	0.000483284259676294	0.000800276150942011	0.000858390260796573	0.000207345994940189	0.000194317623332779	0.00194863490404226	0.000331990547487775	0.000605726215969689	0.000621571257955504	0.000228433931949924	2.68447105648529e-05	0.000343703913393112	0.000366154334822367	0.00154973805829456	0.0023280271188893	0.000703449168504406	0.00472123636399861	0.00151393185674601	0.00174545736466128	0.00121691438106655	0.000762304838845089	0.000238702157947432	0.000346003700303999	0.0018624580557929	0.000429799605817995
ATF2	0.0110348961314749	0.00895420673414393	0.00868394308009381	0.0060641179302108	0.00927305132564738	0.0047319868001832	0.0033775198889362	0.00406433881088467	0.00523827932458515	0.00765924746002789	0.0145099234797151	0.0216918448227901	0.00638209887953555	0.0602186467305248	0.0128533228882697	0.0189875872214628	0.00805821599392023	0.00317717352859405	0.0037111775538537	0.00408288106772316	0.0174083657064263	0.00314040353165586	0.00215629007496908	0.0040246293298298	0.00422189573656963	0.00561240772222112	0.00431977015092148	0.00717655636656625	0.00445694314411166	0.00386457783866637	0.00545646630468849	0.00283750146982657	0.0291468670089754	0.00791231529838717	0.00380972997581036
IKZF2	0.00359811609787056	0.0165087080653699	0.00219079053402488	0.00219948047350772	0.0113055106862226	0.00208558710532259	0.00615107702762537	0.00208834700427729	0.020341837803821	0.00271367300395234	0.00129328935072664	0.000209452299378092	0.000706312985406972	0.000442314481042208	0.000599660852842369	0.00266284840670299	0.000468739855597127	0.0147534394459084	0.00346814474171561	0.000276876649829917	0.000303508739956056	0.00147967334024631	0.00758656736072122	0.00130988798299577	0.00200537658503115	0.00303047443236062	0.00240655343241415	0.00171812235051065	0.00513515249832351	0.00391625201204361	0.00290595725672136	0.0143002251101319	0.000277098929941886	0.00188666269898661	0.00046060725188568
MEIS1	0.00568701523462551	0.0194895264119804	0.00161655925683826	0.00301750004512922	0.0162607783287877	0.00233392638540797	0.00262197097761712	0.00271140615163664	0.0194743869918081	0.00305042978694166	0.0106161546402518	0.0181450726796754	0.0037540796529311	0.00652692172913148	0.00702498184310713	0.0135658548579354	0.00217832762411895	0.00590438462752857	0.00818788939009694	0.00870038859479511	0.00443346590665959	0.00930406946777991	0.00573011240784841	0.00752502886917639	0.00519602002318433	0.00336902905124161	0.00347318925479767	0.00405133537176571	0.0142211263119918	0.004718073560524	0.0062643594477638	0.00847339145199556	0.000349710882807256	0.014259406755146	0.00268535981609813
GRHL1	0.048647704351248	0.0365713216243645	0.0408942902124311	0.0330146531941895	0.0372694040736225	0.0758151871917303	0.0723778314971935	0.0860423002452956	0.0562935109464746	0.0595683548588174	0.0330876598986	0.0328539976488902	0.0244336292360451	0.0283244745700161	0.0308891709036132	0.0555096443493953	0.0390178054838464	0.032188674732193	0.0287670970153649	0.0226784336206262	0.0540705554227066	0.0580307801512553	0.0484810062762705	0.0482114086712126	0.0515489269491036	0.051803962309953	0.0504704788078824	0.0695957617459623	0.0344561316680737	0.0658451350897336	0.0834118639106416	0.0202873249397181	0.0259609462855085	0.0270388258834268	0.0556447684736294
KLF11	0.00506030492515003	0.00199991028870327	0.00932641102193656	0.0121150524177678	0.00202009313726736	0.005687641739462	0.00531643806672425	0.00909408806380775	0.00301672414787123	0.00452538377403256	0.00224639844237472	0.0014642586491888	0.00342255580109845	0.000348068489860588	0.00360486022984031	0.00215350407869347	0.0123175565255528	0.0121828500619876	0.0115641071680801	0.00089889685796761	0.000736374711120153	0.00491242893729245	0.00225224852448213	0.00763435517287813	0.0031621130553515	0.00810789167106551	0.00626883432802909	0.00480633976899797	0.0037615905516362	0.00175760025713574	0.00227987793330929	0.00215641206079533	0.00737900046449105	0.00338541142709901	0.00963858362859811
ZNF451	0.00280937160628936	0.00427631047888772	0.0110025367767497	0.00309789178355637	0.0026095273904763	0.00749224975349628	0.00424153476460771	0.00904873623740334	0.0078115898323021	0.00544679858350559	0.0087645892658178	0.00641490707976886	0.0030232826575794	0.00301228563348026	0.00143040484301866	0.00318812554741039	0.0040673774810834	0.00346968917434929	0.0102551585969596	0.00264160545230699	0.00663147445193412	0.00697654510783167	0.00693611393846757	0.00567924034665355	0.00846036166742188	0.00656069525072955	0.0122453366552888	0.00568769878469396	0.02773682083423	0.00694385210271097	0.00527705680379108	0.00581562047630681	0.0117794208471298	0.00779783144193689	0.0158219291053446
FOXO3	0.000740377214422039	0.000240551356177158	7.2739090324634e-05	5.94416797162285e-05	0.000831064996848822	0.000114470502835003	0.000757515838368476	7.96561724348259e-05	6.33876949203682e-05	0.000132805861005114	0.000122334848907382	0.000223184583928051	8.70849527465992e-05	2.15134316540643e-06	4.68470296534919e-05	0.00101499222953144	5.23700014614155e-05	0.00521514701868154	0.000216088127905246	2.00766975603919e-05	0	0.000193915906577885	0.00037964570404628	0.000178801982800344	0.000255880916743355	0.000146777183075786	0.00145625375568769	0.000725976714222656	0.000779722063004085	0.000799718263274869	0.000380060034778962	7.14102486471077e-05	0	0.000171140872786699	6.14752044767115e-05
TBX3	0.00240240721337484	0.00615294338296875	0.0162930871244003	0.00855650710669895	0.00755978410362004	0.00487810524513294	0.00873115584407042	0.00635371702696557	0.00515194455400656	0.00301129454248815	0.00256690369125813	0.000804950741952509	0.0173910826142935	0.0260891675690067	0.00149140600895734	0.00712631505060161	0.0105791975083002	0.000714270020848587	0.0116252362804668	0.00443106588159185	0.000578721185941774	0.00314553956989795	0.00465648806954676	0.00287801799238138	0.00952533771617201	0.00625580540885737	0.00914551824732352	0.00606474578598325	0.0083156637972112	0.00299370437349776	0.00551912415774083	0.00428313810390287	0.00149358263964559	0.00650867688376816	0.00317659349050519
SUPT4H1	0.000168224077244143	0.000840875907383652	0.000126708756233612	0.000140887358345512	0.000408445007259302	0.000301113619099535	0.000138872464757317	0.000699540243773364	0.000670970541185777	0.000155734489725801	0.000122804511321798	0.000223184583928051	0.000175689390982503	0	3.19772384465235e-05	0.00563922836425578	0.00110983752777912	1.5146784702084e-05	0.000243799597158355	0.00253072164658866	2.54993704054733e-05	0.00295212297696529	0.00203057255370662	0.00272481300014807	0.00184303882636531	0.00336367130288225	0.000219384676831622	0.00290419521946059	0.000642672163936065	0.00116966296060481	0.00482799473158988	3.16605581138124e-05	0.000173001850151999	0.000155119962970475	0.000133097588691914
PURA	0.000172368313451386	0.000333924799623132	4.13873544470129e-05	4.07689891926107e-05	1.99226261629299e-05	0.000104389433161137	0.000110247068253625	7.60277771633032e-05	0.000314918142876731	9.57871776324749e-05	6.52712723260524e-05	0.0202039749875848	0.0102640541823591	3.41183952776378e-05	2.17440186641879e-05	5.7288954021379e-05	0.0077194315056804	1.73241986949155e-06	0.00020118920875975	5.14787116933125e-06	0.000573735834123149	9.44287088233432e-05	3.06386500253613e-05	0.000238978178008011	2.3006866132659e-05	4.31765622573321e-05	0.000160644397931555	0.000240377791769693	4.32962222804585e-05	9.94182287984818e-05	8.59043337020942e-05	7.59285004268798e-06	0	0.00205099273263454	0.000169245700830925
KAT6A	0.0099337934431122	0.0176312500622887	0.0132990866975817	0.0116367284162298	0.0186417421480153	0.0165657836227078	0.0191935817555693	0.0110927095842861	0.0118238906801515	0.0110490525587651	0.0261786340419339	0.00817658661145948	0.0113367916898087	0.00894757288054055	0.0108607876187215	0.0117829935226521	0.0141400070535777	0.00657937234617049	0.018877720689812	0.00987766821821973	0.0197024169509157	0.00754526874489099	0.00846660372717013	0.0094255436322825	0.00998133926143517	0.00906977569959174	0.00878484531482309	0.00845575707230822	0.0120853784364643	0.00884078549860818	0.0098900838993275	0.0140582021663036	0.00490671224432092	0.0179526984569944	0.0174226648967104
BARX2	0.0059215653758679	0.0105267975566024	0.00482617061781291	0.00581521176339262	0.0238821589972715	0.00700465489750608	0.0076576553080008	0.00397612809953077	0.00940925021776139	0.00630481086476828	0.00422514214025097	0.00353551180886113	0.00500991487275019	0.00426477161947717	0.00552665428480132	0.00529075178586755	0.0064564323913668	0.00775789029638015	0.00657570184958442	0.00336209074499166	0.00463563827792409	0.00560937839087677	0.00863203702316359	0.00704257153551136	0.00522024803646409	0.0073593107376019	0.00398077452028024	0.0118596961306662	0.00330130494221113	0.00359312866237965	0.00539016376415199	0.00844096044812843	0.0127524903846409	0.00843039503791344	0.00311440590811624
MXD1	0.000150995597276	0.000121513674799388	4.859221117177e-05	0.00077432748170181	0.000997921407246385	0.000127805654182296	0.000307220348183643	8.24134485747153e-05	0.000685129977922543	0.000258710575028963	0.000116637090195635	0.000111592291964026	0.000847700919143075	8.05252240456652e-06	2.27290270338609e-05	0.000458235174371832	4.80323364700951e-05	7.01630047144079e-05	0.000316128785084578	6.34291269078315e-05	1.9124527804105e-05	0.000126781323691069	9.11942247233309e-05	0.000182133815049743	0.000107253725556836	0.000154757550170575	7.28373676273656e-05	0.000185717161834251	0.000105173661249552	0.000162090396673581	0.000146226342186822	8.54333906021271e-05	0	0.00121380470984083	0.000199789826066755
BOLA3	0.000904614349603873	0.000762768759190094	0.00106509291524822	0.00117346337473857	0.00114522916927781	0.00108589355073246	0.00229446024009506	0.000700501977670932	0.00160201836093008	0.00220579263330597	0.000417787261912504	7.04094223106351e-05	0.00115180264071827	5.90847191087906e-05	0.000562993306979303	0.0020007264427554	0.00240504936199409	0.00281689714624226	0.000552200195737883	0.018024100716586	0	0.0007951995622425	0.00173775691408268	0.00144894586123834	0.0024463299385771	0.00132277406411039	0.00591233061931676	0.00315537128832028	0.00588914752810461	0.00319360511231339	0.00193138336728073	0.00133659061268615	0	0.00199279559136624	0.00118376582099755
HDAC1	0.00636489978397341	0.00683544099527476	0.00636208960147744	0.00804197645747693	0.00426743537804838	0.0108422552037583	0.0109669765850138	0.00931461170697776	0.00862485889080753	0.0110858624539966	0.00971622347375523	0.0250621103369714	0.00889698005299911	0.00157578649877228	0.00300233777375287	0.00445946922050738	0.0181640375802627	0.00366466628588414	0.00528954788892648	0.00377577230360101	0.0348657474103615	0.0123206608098958	0.00871139240574383	0.00688345228876822	0.00653851367471076	0.00392307273650693	0.00946602425965146	0.0044051154933775	0.00433966090337215	0.00735399688179288	0.00577398331804845	0.00553257736698246	0.0053825168784729	0.00455396735286413	0.00673584995687484
ERF	0.00492625747736159	0.00568742299530324	0.00819286924114911	0.00398162411843036	0.00807034261246456	0.00317078421540003	0.00284658707122153	0.00358174269537964	0.00380687135080589	0.00548978955031274	0.00287379091943163	0.000772992151419105	0.00356676112740206	0.00208272931679645	0.00701793770141716	0.00299505487897957	0.00305060863912683	0.0216650243006304	0.00314975083731464	0.0170541076687616	0.00379493265216457	0.00287510189283973	0.00198607949304308	0.00428499231451172	0.00331868057312816	0.00263763554576905	0.00682013326508145	0.0033613751522505	0.0048026539769229	0.00351065741271912	0.00271887911006392	0.00690913164439945	0.00441572345295545	0.00465765675548923	0.00377648595728123
CIC	0.000498427699193217	0.004441060284602	0.000956450364586803	0.000147147669454265	0.00154734139979611	0.00112614840349567	0.000645903221255886	0.00065152362032904	0.00024838781133003	0.00140366441207342	0.00555593517258535	0	0.00710361877069093	1.30671500039614e-06	0.00484991729382814	0.000307356270899397	0.000128685282654049	0.000679621280124246	0.00057285090296654	2.00766975603919e-05	1.02452827521991e-05	0.000291188422050104	0.000378572182343054	0.00130277128693101	0.00650345511558057	0.000416014046965678	0.00520527929169365	0.000756224654949504	0.00222059907686841	0.00208732758014377	0.00036554287250063	7.55645260153872e-05	0.0457157639878159	0.000303613675322626	0.000461225889479964
